MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Launch
",Mid Range,5,5,-1,2,1,21.4,2.1,1.3,1.3,18.8,6.1,51.25,No
"Lava
",Mid Range,5,5,-1.5,1,-0.5,21.9,1.7,1.3,1.3,19.2,5.9,48,No
"Leviathan
",Mid Range,5,4,-3,0,-3,21.3,1.9,1.1,1.4,18.6,5.2,42,No
"Lion
",Mid Range,5,4,0,2,2,21.7,1.7,1.4,1.3,19,6.5,54.75,No
"Lithium
",Mid Range,5,4,-2,1,-1,21.9,1.5,1.3,1.5,18.9,5.9,51.75,No
"Lobster
",Mid Range,5,5,-3,1,-2,21.5,1.8,1.3,1.4,18.6,6,47.5,No
"Lone Wolf
",Mid Range,5,5,-3,1,-2,21.6,1.5,1.1,1.4,18.9,5.1,41.75,Yes
"Lucky
",Mid Range,5,5,-2,1,-1,21.7,1.7,1.3,1.3,19.1,6,43.5,No
"M1
",Mid Range,5,4,0,3,3,21.7,2,1.3,1.4,18.9,6,39.25,No
"M2
",Mid Range,5,4,0,2,2,21.7,2,1.3,1.4,18.9,6,41,No
"M3
",Mid Range,5,5,-1,2,1,21.7,1.9,1.3,1.4,18.9,6,43.25,No
"M4
",Mid Range,5,5,-1,1,0,21.7,2,1.3,1.4,18.9,6,52,No
"M5
",Mid Range,5,5,-3,1,-2,21.7,2.2,1.3,1.3,19,6,46.5,No
"Mace
",Mid Range,5,5,0,2,2,21.8,2.1,1.3,1.3,19.2,6,38.75,No
"Magma
",Mid Range,5,5,0,2,2,21.9,1.7,1.3,1.5,18.9,5.9,42.25,No
"Magnolia
",Mid Range,5,5,0,2,2,21.8,2,1.2,1.4,19,5.5,45.5,No
"Mako3
",Mid Range,5,5,0,0,0,21.7,1.9,1.4,1.4,19,6.5,52.75,No
"Malta
",Mid Range,5,4,1,3,4,21.3,1.7,1.3,1.3,18.6,6.1,45,No
"Mana
",Mid Range,5,5,-2,1,-1,21.5,1.8,1.4,1.4,18.6,6.5,53.5,No
"Mango
",Mid Range,5,4,0,4,4,21.4,1.8,1.4,1.4,18.7,6.5,44.25,No
"Manta
",Mid Range,5,5,-2,1,-1,21.8,1.9,1.2,1.4,19,5.5,37.25,No
"Matrix
",Mid Range,5,4,-1,2,1,21.5,1.6,1.4,1.4,18.7,6.5,46.5,No
"MD1
",Mid Range,5,6,0,0,0,21.7,2.1,1.4,1.3,19.1,6.5,53,No
"MD3
",Mid Range,5,5,0,1,1,21.8,2,1.4,1.4,18.9,6.4,47,No
"MD4
",Mid Range,5,4,0,3,3,21.7,1.6,1.4,1.4,18.9,6.5,51.25,Yes
"MD5
",Mid Range,5,3,0,4,4,21.1,1.9,1.3,1.4,18.3,6.2,62.25,Yes
"Medius
",Mid Range,5,5,-1,2,1,21.5,2.4,1.2,1.4,18.8,5.6,42.5,No
"Meteor
",Mid Range,5,5,-3,1,-2,21.5,2,1.3,1.3,18.9,6,49.25,No
"Method
",Mid Range,5,5,0,3,3,21.7,1.9,1.4,1.3,19,6.5,44,No
"Mid Disc3
",Mid Range,5,5,0,2,2,21.7,1.8,1.3,1.4,18.9,6,43.75,No
"Midari
",Mid Range,5,4,-1,2,1,21.6,1.8,1.5,1.4,18.8,6.9,37.5,No
"Middy
",Mid Range,5,5,0,3,3,21.4,1.6,1.2,1.3,18.8,5.6,42.75,No
"Mortar
",Mid Range,5,2,0,3,3,21.2,1.9,1.4,1.4,18.4,6.6,56.75,No
"Mustang
",Mid Range,5,5,0,2,2,21.5,1.6,1.3,1.4,18.6,6,44.5,No
"Mutant
",Mid Range,5,3,0,4,4,21.7,1.8,1.2,1.3,19,5.5,40.75,No
"MX-1
",Mid Range,5,2,0,4,4,21.3,2,1.3,1.5,18.3,6.1,41.75,No
"MX-3
",Mid Range,5,4,0,2,2,21.7,1.9,1.3,1.4,18.9,6,32.75,Yes
"Mystic
",Mid Range,5,5,-2,0,-2,22,2,1.1,1.5,19,5,49.75,No
"Navigator
",Mid Range,5,4,-1,2,1,21.6,1.7,1.5,1.4,18.9,6.9,40.5,No
"Nebula
",Mid Range,5,4,-0.5,2,1.5,21.3,2,1.3,1.3,18.7,6.1,44.5,No
